num,note,start,end,pitch
37,E-5,4.317460317460317,4.493422758774871,"[587.2717860873091, 591.0565030056882, 594.4354362595979, 597.5490855450755, 604.8188346495452, 610.4440595166836, 613.2750058129309, 616.0905461930815, 620.4198949259511, 622.3495369610181, 622.4582730499993, 622.0278884531648, 622.436216539416, 622.158514076316, 616.4993755727538, 604.3809656766514, 597.5557474153534, 594.1616534101079]"
38,D5,4.450975056689343,4.719707451055539,"[592.7435667481798, 595.3873642869801, 595.3805056451755, 593.7050804471302, 591.8200939866197, 591.1013355679875, 590.9720860345261, 590.73136525653, 590.3563487850473, 590.0995885321107, 590.0226033493071, 589.3392401395264, 588.6446461758392, 589.0520518522778, 590.2823072677731, 589.9357459138948, 589.5833234648943, 589.8137513933448, 590.0683084709502, 590.1410819849112, 589.1917933196064, 588.6220375086475, 588.3222775561818, 588.55964491966, 587.369047686277, 584.0290630776958, 583.4903250008061]"
39,C5,4.565623582766441,4.741586024080996,"[526.5596385968003, 527.3833008454448, 529.1603758359266, 530.3355258840829, 530.484195887022, 530.0927952315374, 530.0247181507959, 529.7009577998914, 529.1185950359668, 528.9090509648746, 528.8986791080899, 528.682235622168, 528.1618925137182, 527.8788470683706, 528.687761858639, 530.8454911250988, 532.3041056155773, 532.6503416956018]"
40,B-4,4.6918820861678014,4.775074574430712,"[472.77044940500355, 469.9125268525985, 467.5963892414054, 466.0785966840138, 465.0492944622206, 464.9282179984061, 465.8662938642242, 466.67980098081875, 467.9392870190356]"
41,A4,4.771700680272108,4.994048098112484,"[462.33349138045594, 464.14487553166333, 465.39510861864755, 466.07209535460817, 461.7275782887887, 451.82900457047054, 445.2817837885925, 443.65100945223503, 442.6694514464426, 442.13342400602363, 441.9586491813257, 440.9871625546617, 440.0505494133465, 439.9913435883909, 440.06887939607986, 440.2367757615327, 440.11980377992427, 439.8528638834026, 440.1220199178541, 440.0688624326304, 439.7483156133118, 439.3616613552803, 438.07878516697326]"
42,G4,4.934240362811791,5.1722448979591835,"[394.04721216242297, 394.2825067392227, 395.86043800618893, 397.0024396956956, 397.64522890907915, 397.0068485907112, 395.7927388662803, 394.41678705349466, 393.80528411357994, 393.9359316409634, 394.31280879297674, 394.48937201524313, 393.9288473222328, 393.1379309491235, 392.82000519636824, 392.53730535678005, 392.6746012388517, 392.96114564502295, 393.73851718331076, 393.30002201481693, 393.0761455625317, 393.5665439559895, 393.5678300935656, 392.6072844625128]"
43,D4,5.0561451247165525,5.2089150777681965,"[296.5529513704331, 294.4130432238778, 294.83458385826816, 295.68099473836344, 291.0999749291186, 291.0228715031018, 292.6888385554978, 293.50595082740523, 293.85632363438265, 294.0134668706972, 294.06968634092675, 294.0204985843909, 293.56169930140874, 293.249762603181, 293.4928925841792, 293.51360407511163]"
44,G4,5.172244897959184,5.510554757114114,"[394.7413484919332, 395.5399394549715, 395.6835764062567, 394.7772239708398, 392.9889751097698, 392.37138992053616, 391.71420447368325, 391.52124337402967, 391.38742446341433, 391.2304538322696, 390.82296275413535, 390.8414399799421, 390.67560213382, 389.78137849292784, 388.99479491339554, 388.8411688680895, 388.88506615069844, 388.64092818306545, 388.1274967779495, 388.9481168675099, 390.09011150163866, 391.3495868407916, 392.3993579860446, 392.2038775543389, 392.04426897321946, 391.73258691187675, 391.3466948687557, 391.7424667122355, 391.8628971550371, 392.02244127667495, 391.536255385837, 390.8418173603086, 390.34647554843025, 389.7620612910057]"
45,B-4,5.291247165532878,5.444017118584522,"[470.3684712836107, 465.1015851571203, 467.853291499028, 467.8888425188128, 467.126525455716, 466.3642079870024, 465.9725872402709, 466.1706799376368, 466.8460255584979, 466.70809838270713, 465.9607452904095, 465.3814118089349, 465.3690284975455, 465.3583409911397, 465.7854451969291, 466.06206804658996]"
46,D5,5.401541950113379,5.554311903165021,"[576.4718306067076, 577.4764135190269, 579.8511565322501, 584.5345580660677, 587.8913604169942, 590.2492550953764, 592.0855696335501, 591.8340987258919, 590.3284640216962, 589.3883334041058, 588.8156893705567, 588.8758783212536, 588.6533932370186, 588.0749753592444, 587.5701182554142, 587.0096998279711]"
47,G5,5.510385487528344,5.757097505668933,"[783.1259659421756, 784.3182796811301, 780.6392521301179, 778.7122403727763, 779.434344364267, 780.6177007680863, 781.9876022023652, 782.7731524380373, 783.0918193368758, 783.1054486246492, 783.2286635229121, 783.2892638684309, 783.5642381624187, 784.4456695157913, 785.4583181693451, 785.2445984235987, 784.9200643311137, 784.8930576451803, 786.02176428092, 784.1223173215606, 781.5748578505065, 780.3242955816451, 781.600445638449, 781.7366332829977, 780.8688276782759]"
48,B-5,5.616326530612245,5.83867394845262,"[891.7680636888531, 895.085369884017, 894.1923997961749, 891.923199180223, 919.7412650800234, 931.45151180617, 934.835066995864, 935.1944168944955, 934.6232858982772, 933.2352340136226, 933.1892461331261, 934.0023510843508, 934.2736508042858, 934.5605187739774, 934.7164761562647, 933.7782950178323, 932.5097132314611, 930.7497357698197, 929.8222153459409, 930.826513505589, 932.6529908273537, 933.9727771751413, 935.7585825006579]"
49,G5,5.757097505668934,5.933059946983487,"[788.773214488332, 789.094274183086, 784.8601204295132, 782.7079089559877, 783.5604299133036, 785.294543205747, 785.6348365631958, 786.2335275852355, 786.6138774927706, 786.5918730585856, 786.5657094760843, 786.2971997664209, 785.8119723629964, 785.429014690032, 786.4650597315302, 787.578851636802, 787.5138802504115, 787.138878844405]"
50,E-5,5.899319727891156,6.105396825396825,"[614.6069554559274, 606.5321156059497, 604.1871002222724, 605.6532921330028, 611.6925941223335, 617.0067699837117, 620.7894629295903, 622.3649329046393, 622.6139597970018, 622.8259667481549, 622.5922619710324, 620.7943266177008, 620.5217605761311, 622.994185657485, 624.8122504572017, 625.7191802011051, 625.7179112766336, 623.6383369143655, 622.168632159313, 619.7800662788703, 606.921097649106]"
51,C5,5.998004535147393,6.220351952987768,"[521.7177875488782, 520.940000215418, 522.2566259568407, 522.6430395847462, 522.7524280156209, 523.795777991565, 523.5544854536654, 524.0951417383922, 524.56418677076, 524.6916674501266, 524.4500799563124, 524.1452792610582, 523.8433603687765, 523.4587753294808, 521.7338958761605, 519.860891622874, 522.2694135469736, 523.4299070991697, 522.1554976118774, 521.0956995755125, 519.9019620986912, 519.739954129617, 520.1338220307914]"
52,E-5,6.105396825396825,6.234974290185558,"[624.1712525615501, 619.7782241121802, 602.5738728967342, 616.7541653896033, 615.9966812487877, 617.6288846915714, 619.1154266279682, 621.2346075300273, 622.1736540304271, 622.5385571041984, 622.8986309184561, 623.4071608759834, 623.0182385601225]"
53,G5,6.225850340136055,6.401812781450609,"[780.8488088467686, 779.5543503844206, 778.9605228784809, 781.3131219777499, 783.8214227341932, 785.1899031669399, 785.1028938129807, 784.9443423165984, 784.9871398694273, 784.9804836973356, 785.1885845999686, 785.354833987053, 785.3503243396378, 785.9377244310983, 786.5553639845346, 786.455167391995, 785.7331704551341, 785.0446370464285]"
54,A5,6.346303854875282,6.4990738079269255,"[850.0688183867181, 836.9580628841563, 928.6722743367484, 874.4323014502198, 880.7385435197358, 884.0438766656258, 886.2417415045995, 886.7208277300645, 883.8767381807404, 882.4429081440721, 883.6499595670036, 886.647501793883, 890.1042163284274, 889.8550902736002, 887.2663250636792, 882.6979932801175]"
55,F5,6.478367346938776,6.65432978825333,"[691.7264589527218, 692.3127565046864, 694.2837528137749, 696.2726199300096, 698.4233433409798, 698.5157954044921, 698.1451676002331, 698.287010810916, 698.1797652285545, 697.9969514477103, 697.165148907821, 696.463858597931, 696.9100432487503, 698.1399446848891, 698.0397292007481, 697.1689410599062, 696.1265307816191, 696.3881404683821]"
56,D5,6.587210884353741,6.812154195011338,"[576.7923840049863, 574.8224632133232, 577.8882278457105, 581.8854261228678, 584.840090835087, 587.1954499430029, 587.947549704087, 587.8635154666141, 587.3386188126277, 587.0277123312192, 587.1141137151459, 587.9270744886844, 587.3768350772039, 586.7719633499219, 586.3354148890874, 585.8649795873813, 585.0628348538975, 585.1394000742903, 585.0208670353427, 584.9506019720048, 585.0759448278831, 584.7983230768779, 584.4602724500991]"
57,B-4,6.68734693877551,6.840116891827152,"[455.05384726731387, 456.08050518057235, 457.0859062703298, 465.9793884622022, 466.2351680196065, 465.3958287594893, 465.49427900457516, 465.6108940198875, 465.63430243494673, 466.0342185815392, 466.579408464845, 466.9775183197455, 467.5558927241829, 468.02394556796116, 468.2011590875079, 466.6728212194389]"
58,D5,6.812154195011338,6.941731659800071,"[582.9193297989158, 589.706912816742, 590.5880109170109, 589.6973789741556, 588.989907235942, 588.9830159651639, 589.5141889685813, 590.2332152324748, 589.7254133354921, 588.4167714192007, 587.1211670252139, 586.5492492878697, 585.8000838909065]"
59,F5,6.928253968253967,7.0810239213056105,"[693.9918298604674, 697.5512539390124, 700.0722476346685, 701.222976693989, 701.1895998207783, 700.4527204246727, 699.9892796070392, 699.7169704425472, 699.5795722086524, 699.3539745633103, 699.0373149149914, 698.917476551034, 699.013499063607, 699.52535482487, 699.6203531915841, 698.3866025541932]"
60,G5,7.058866213151928,7.211636166203571,"[772.2790886358597, 780.3577027567782, 786.7014092206143, 788.6894698971458, 787.8484146079879, 786.0857596401311, 784.9532502204868, 783.8423692254696, 783.620351016441, 783.7322518373196, 784.1106605170261, 784.2321282245218, 784.5340618291453, 784.8478122554986, 784.5792568425845, 784.5016203875232]"
61,E-5,7.1531972789115645,7.305967231963207,"[595.8920515833848, 601.2147411738365, 593.110446778702, 591.8739878894899, 594.9581537206559, 601.6301652097745, 613.8530875456432, 620.6773650739227, 622.8327294463345, 623.3157551965427, 623.3282252328819, 623.3032143945757, 623.9069829779164, 625.0867718334621, 625.5012899674825, 625.6493699044935]"
62,C5,7.285260770975058,7.511655328798188,"[521.372282489146, 519.6473049842534, 519.692540637747, 519.7756349745869, 519.8129014889548, 520.6797716269482, 520.671390833289, 521.534812373573, 522.2529902964509, 522.646888047773, 522.7930857153025, 522.0697859810211, 520.5718842552684, 519.2309348671017, 517.9449697869354, 518.3560366141622, 519.6597027867011, 519.8769050745797, 518.8704265023829, 517.8126864701306, 516.8551200405798, 518.0100455026189, 521.2390290579465]"
